Year,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2023,"Broj zemalja sa šemom za promociju stranih investicija koja može koristiti zemljama u razvoju, uključujući najmanje razvijene zemlje (1 = DA, 0 = NE)",Bilo koja vrsta šeme OFDI,Broj,0
2024,"Broj zemalja sa šemom za promociju stranih investicija koja može koristiti zemljama u razvoju, uključujući najmanje razvijene zemlje (1 = DA, 0 = NE)",Bilo koja vrsta šeme OFDI,Broj,0
2023,"Broj zemalja sa šemom za promociju stranih investicija koja može koristiti zemljama u razvoju, uključujući najmanje razvijene zemlje (1 = DA, 0 = NE)",Direktno učešće kapitala,Broj,0
2024,"Broj zemalja sa šemom za promociju stranih investicija koja može koristiti zemljama u razvoju, uključujući najmanje razvijene zemlje (1 = DA, 0 = NE)",Direktno učešće kapitala,Broj,0
2023,"Broj zemalja sa šemom za promociju stranih investicija koja može koristiti zemljama u razvoju, uključujući najmanje razvijene zemlje (1 = DA, 0 = NE)",Fiskalna / finansijska podrška,Broj,0
2024,"Broj zemalja sa šemom za promociju stranih investicija koja može koristiti zemljama u razvoju, uključujući najmanje razvijene zemlje (1 = DA, 0 = NE)",Fiskalna / finansijska podrška,Broj,0
2023,"Broj zemalja sa šemom za promociju stranih investicija koja može koristiti zemljama u razvoju, uključujući najmanje razvijene zemlje (1 = DA, 0 = NE)",Usluge olakšavanja investicija,Broj,0
2024,"Broj zemalja sa šemom za promociju stranih investicija koja može koristiti zemljama u razvoju, uključujući najmanje razvijene zemlje (1 = DA, 0 = NE)",Usluge olakšavanja investicija,Broj,0
2023,"Broj zemalja sa šemom za promociju stranih investicija koja može koristiti zemljama u razvoju, uključujući najmanje razvijene zemlje (1 = DA, 0 = NE)",Investicione garancije,Broj,0
2024,"Broj zemalja sa šemom za promociju stranih investicija koja može koristiti zemljama u razvoju, uključujući najmanje razvijene zemlje (1 = DA, 0 = NE)",Investicione garancije,Broj,0
